,ID,RFID,SEX,Pair,Site,Category
1,J2403,01101722BC,F,7,STITHIANS,1
2,J2965,01101711A6,M,7,STITHIANS,1
3,J250,0110174A5C,F,9,STITHIANS,1
4,J290,0110171677,M,9,STITHIANS,1
5,J1319,011016DC9B,F,14,STITHIANS,1
6,J416,0110173108,M,14,STITHIANS,1
7,J1323,010C111B7A,F,18,STITHIANS,1
8,J1340,011016FAF6,M,18,STITHIANS,1
9,J505,011016DF64,F,21,STITHIANS,1
10,J1480,011016B47D,M,21,STITHIANS,1
11,J1046,01101705AC,F,30,STITHIANS,1
12,J1529,0700ED9918,M,30,STITHIANS,1
13,J2409,0110173D73,F,19,STITHIANS,1
14,J2402,011016E014,M,19,STITHIANS,1
15,J2375,010C118978,F,42,PENCOOSE,1
16,J837,0110174DC2,M,42,PENCOOSE,1
17,J692,0700EDA828,F,56,PENCOOSE,1
18,J899,0110174FBB,M,56,PENCOOSE,1
19,J995,0700EE1AAE,F,65,PENCOOSE,1
20,J1376,0110171952,M,65,PENCOOSE,1
21,J1001,0110172CE1,F,68,PENCOOSE,1
22,J1394,0110173549,M,68,PENCOOSE,1
23,J2400,0110173809,F,71,PENCOOSE,1
24,J2359,011016FC0F,M,71,PENCOOSE,1
25,J1328,010C10FB80,F,1,STITHIANS,2
26,J1334,010C112D8C,M,1,STITHIANS,2
27,J1366,010C115B1A,F,2,STITHIANS,2
28,J1890,011016C36B,M,2,STITHIANS,2
29,J896,0110172A91,F,3,STITHIANS,2
30,J2391,0110171900,M,3,STITHIANS,2
31,J892,011017423A,F,4,STITHIANS,2
32,UNMK,,M,4,STITHIANS,2
33,J1315,01101724DB,F,5,STITHIANS,2
34,J515,01103F8D65,M,5,STITHIANS,2
35,UNMK,,F,6,STITHIANS,2
36,J1492,011016B471,M,6,STITHIANS,2
37,J1349,011016FDFB,F,8,STITHIANS,2
38,J1896,011017400D,M,8,STITHIANS,2
39,J407,010C11552B,F,10,STITHIANS,2
40,J1359,010C11A87D,M,10,STITHIANS,2
41,J510,0110173D72,F,11,STITHIANS,2
42,J516,,M,11,STITHIANS,2
43,J2980,011016CF45,F,12,STITHIANS,2
44,J2943,01101704F8,M,12,STITHIANS,2
45,J1891,0110170C9F,F,13,STITHIANS,2
46,J1365,0110172F8B,M,13,STITHIANS,2
47,J792,0110172958,F,15,STITHIANS,2
48,J1895,0110171CDF,M,15,STITHIANS,2
49,J2383,0110171C3B,F,16,STITHIANS,2
50,J1521,0110173FBD,M,16,STITHIANS,2
51,J1903,0110173CFE,F,17,STITHIANS,2
52,J469,0110173B9B,M,17,STITHIANS,2
53,J1915,01103F8DAB,F,20,STITHIANS,2
54,J1507,011016DA82,M,20,STITHIANS,2
55,J1318,011016FBB0,F,22,STITHIANS,2
56,J494,0110173BDC,M,22,STITHIANS,2
57,J1893,01103F8B8A,F,23,STITHIANS,2
58,J972,011016C2E3,M,23,STITHIANS,2
59,J2952,01101716A9,F,24,STITHIANS,2
60,J2941,01101746C4,M,24,STITHIANS,2
61,J295,0110171A6D,F,25,STITHIANS,2
62,J446,,M,25,STITHIANS,2
63,J16,01103F727C,F,26,STITHIANS,2
64,J361,01101704AF,M,26,STITHIANS,2
65,J2460,011016E2D8,F,28,STITHIANS,2
66,J625,0110172C35,M,28,STITHIANS,2
67,J2392,0110171099,F,29,STITHIANS,2
68,J1926,0110170C9D,M,29,STITHIANS,2
69,J721,0110172B35,F,31,STITHIANS,2
70,J1368,010C10C985,M,31,STITHIANS,2
71,J1317,01101729E4,F,32,STITHIANS,2
72,J1602,01101704F9,M,32,STITHIANS,2
73,J793,0110172B8A,F,33,STITHIANS,2
74,J1352,0110171192,M,33,STITHIANS,2
75,J39,0110174C1A,F,34,PENCOOSE,2
76,J267,,M,34,PENCOOSE,2
77,J1154,010C1133E0,F,35,PENCOOSE,2
78,J2395,0110173C8E,M,35,PENCOOSE,2
79,J2951,0110171256,F,36,PENCOOSE,2
80,J2966,011017173D,M,36,PENCOOSE,2
81,J41,0110170E43,F,37,PENCOOSE,2
82,J323,0700ED8C67,M,37,PENCOOSE,2
83,J615,010C10FC63,F,38,PENCOOSE,2
84,J618,,M,38,PENCOOSE,2
85,J637,01101718CB,F,39,PENCOOSE,2
86,J1900,011017151E,M,39,PENCOOSE,2
87,J42,011016FD17,F,40,PENCOOSE,2
88,J1351,,M,40,PENCOOSE,2
89,J2390,011016D940,F,41,PENCOOSE,2
90,J62,0110173EE2,M,41,PENCOOSE,2
91,J243,01103F6CD0,F,43,PENCOOSE,2
92,J145,011017298F,M,43,PENCOOSE,2
93,J164,011017063E,F,44,PENCOOSE,2
94,J831,0110170F9D,M,44,PENCOOSE,2
95,J572,010C1145EF,F,45,PENCOOSE,2
96,J257,0110170DED,M,45,PENCOOSE,2
97,J990,011017378A,F,46,PENCOOSE,2
98,J909,0110174D76,M,46,PENCOOSE,2
99,J1455,0110174A8F,F,47,PENCOOSE,2
100,J1980,011017079E,M,47,PENCOOSE,2
101,J1337,010C10B348,F,48,PENCOOSE,2
102,J1259,0110173869,M,48,PENCOOSE,2
103,UNMK,,F,49,PENCOOSE,2
104,J265,010C11C061,M,49,PENCOOSE,2
105,J1783,01103F76C4,F,50,PENCOOSE,2
106,J2981,0110174210,M,50,PENCOOSE,2
107,J1375,0110171A0A,F,51,PENCOOSE,2
108,J1898,01101739D4,M,51,PENCOOSE,2
109,J796,011017208B,F,52,PENCOOSE,2
110,J1346,0110173CC7,M,52,PENCOOSE,2
111,J218,011016D7A3,F,53,PENCOOSE,2
112,J289,0110172E84,M,53,PENCOOSE,2
113,J912,0110171842,F,54,PENCOOSE,2
114,J1360,01101722BF,M,54,PENCOOSE,2
115,J1343,,F,55,PENCOOSE,2
116,J430,010C1192E3,M,55,PENCOOSE,2
117,J2394,01101744A1,F,57,PENCOOSE,2
118,J219,0110174F24,M,57,PENCOOSE,2
119,J1979,0110174004,F,58,PENCOOSE,2
120,J1131B,011016ECE3,M,58,PENCOOSE,2
121,J2377,0110170541,F,59,PENCOOSE,2
122,J1463,010C11735F,M,59,PENCOOSE,2
123,J1916,0700EDC3DE,F,60,PENCOOSE,2
124,J1093,0110174A58,M,60,PENCOOSE,2
125,UNMK,,F,61,PENCOOSE,2
126,UNMK,,M,61,PENCOOSE,2
127,J908,011017172E,F,62,PENCOOSE,2
128,J587,0110173219,M,62,PENCOOSE,2
129,J2415,01101730BD,F,63,PENCOOSE,2
130,J1428,0110174894,M,63,PENCOOSE,2
131,J1355,0110173920,F,64,PENCOOSE,2
132,J933,0110174403,M,64,PENCOOSE,2
133,J56,01103F662E,F,66,PENCOOSE,2
134,J1345,,M,66,PENCOOSE,2
135,J1398,011016FAA4,F,67,PENCOOSE,2
136,J1962,011017041C,M,67,PENCOOSE,2
137,J877,0110171892,F,69,PENCOOSE,2
138,J1889,01101704BE,M,69,PENCOOSE,2
139,J1768,01101729D9,F,70,PENCOOSE,2
140,J833,01101736A9,M,70,PENCOOSE,2
141,J1959,011016FAA1,F,72,PENCOOSE,2
142,J992,0110172709,M,72,PENCOOSE,2
143,J595,011016EFBD,M,73,PENCOOSE,3
144,J1964,0110174001,F,73,PENCOOSE,3
145,J634,0110174899,M,74,STITHIANS,3
146,J886,0110172BBE,F,74,STITHIANS,3
147,UNMK,,F,79,STITHIANS,3
148,J314,0110174A17,M,79,STITHIANS,3
149,J23,01101730BB,F,82,STITHIANS,3
150,J22,01103F6CED,M,82,STITHIANS,3
151,J460,01101739D8,M,84,STITHIANS,3
152,J834,0110172558,F,84,STITHIANS,3
153,J1469,010C10BD41,F,85,PENCOOSE,3
154,J1388,0110171C9B,M,85,PENCOOSE,3
155,J838,,M,87,PENCOOSE,3
156,UNMK,,F,87,PENCOOSE,3
157,J1908,0110170EA4,F,89,PENCOOSE,3
158,J1458,01101744A9,M,89,PENCOOSE,3
159,J2396,011016DF7C,M,91,PENCOOSE,3
160,UNMK,,F,91,PENCOOSE,3
161,J1973,0110171A79,F,92,PENCOOSE,3
162,UNMK,,M,92,PENCOOSE,3
163,J1222,01101704BC,F,93,PENCOOSE,3
164,J1155,01101742D2,M,93,PENCOOSE,3
165,J251,,F,94,PENCOOSE,3
166,UNMK,,M,94,PENCOOSE,3
167,J1666,0110173B23,F,95,PENCOOSE,3
168,J1726,011017210A,M,95,PENCOOSE,3
169,J1311,010C110319,F,96,PENCOOSE,3
170,J258,010C112145,M,96,PENCOOSE,3
171,J1626,01101726B0,F,97,STITHIANS,3
172,J1356,010C10EFE8,M,97,STITHIANS,3
173,J1056,011017506D,F,98,STITHIANS,3
174,J2942,01101725D9,M,98,STITHIANS,3
175,J805,010C10B0C7,F,100,PENCOOSE,3
176,J1954,01101744AE,M,100,PENCOOSE,3
177,J751,011016D406,M,101,STITHIANS,3
178,J1917,0110174222,F,101,STITHIANS,3
179,J305,010C10BA79,M,102,STITHIANS,3
180,J419,0110173F5F,F,102,STITHIANS,3
181,J1065,0110171BDF,M,103,PENCOOSE,3
182,J1419,010C115615,F,103,PENCOOSE,3
183,J2434,01103F7297,,104,PENCOOSE,3
184,UNMK,,,104,PENCOOSE,3
185,J2621,0110170C51,F,105,PENCOOSE,3
186,J2782,0110174EEA,M,105,PENCOOSE,3
187,J448,0700EDA0B7,,106,STITHIANS,3
188,UNMK,,,106,STITHIANS,3
189,J2623,01103F7E1F,,107,STITHIANS,3
190,J3063,0110173972,,107,STITHIANS,3
191,J2801,011016BBE5,M,NA,STITHIANS,4
192,J884,011016BC6D,F,NA,STITHIANS,4
193,J1034,011016C003,M,NA,STITHIANS,4
194,J3036,011016E2FC,,NA,STITHIANS,4
195,J2627,011016FAEE,,NA,PENCOOSE,4
196,J2538,011016FCAC,,NA,STITHIANS,4
197,J2740,011016FE76,F,NA,STITHIANS,4
198,J2839,0110171B85,F,NA,STITHIANS,4
199,J2573,01101726F3,F,NA,PENCOOSE,4
200,J1029,01101727B3,M,NA,STITHIANS,4
201,J2866,01101733D1,,NA,STITHIANS,4
202,J1490,0110174D33,M,NA,STITHIANS,4
203,J2130,01103F6537,M,NA,STITHIANS,4
204,J3095,01103F7052,,NA,STITHIANS,4
205,J3084,01103F725F,,NA,STITHIANS,4
206,J2804,01103F754E,,NA,STITHIANS,4
207,J3070,01103F769B,,NA,STITHIANS,4
208,J2960,01103F7E98,,NA,STITHIANS,4
209,J1327,01103F8F10,M,NA,STITHIANS,4
210,J2331,0110171544,M,NA,PENCOOSE,4
211,J2948,0110170649,,NA,STITHIANS,4
212,J2651,0110171249,M,NA,STITHIANS,4
213,J1600,0110171819,F,NA,STITHIANS,4
214,J2727,0110173E12,F,NA,STITHIANS,4
J01,J01,,F,,,5
J02,J02,011017419D,M,,,5
J03,J03,01103F6A73,M,,,5
J04,J04,011017079D,M,,,5
J05,J05,,M,,,5
J06,J06,011016AF89,M,,,5
J07,J07,010C11B3C1,F,,,5
J08,J08,0110171DAE,M,,,5
J09,J09,010C10D72A,F,,,5
J10,J10,010C11BA7A,M,,,5
J100,J100,,,,,5
J1000,J1000,,,,,5
J1002,J1002,010C109B7E,M,,,5
J1003,J1003,0110174D17,M,,,5
J1004,J1004,010C1194D1,M,,,5
J1005,J1005,010C10BB23,F,,,5
J1006,J1006,010C115B1F,M,,,5
J1007,J1007,010C115896,M,,,5
J1008,J1008,010C10BEA8,F,,,5
J1009,J1009,010C11C106,M,,,5
J101,J101,,,,,5
J1010,J1010,010C119709,M,,,5
J1011,J1011,,,,,5
J1012,J1012,,,,,5
J1013,J1013,,,,,5
J1014,J1014,010C112068,F,,,5
J1015,J1015,,,,,5
J1016,J1016,,,,,5
J1017,J1017,010C10B497,F,,,5
J1018,J1018,010C114385,F,,,5
J1019,J1019,,,,,5
J102,J102,,,,,5
J1020,J1020,010C10DC9B,M,,,5
J1021,J1021,010C115FE8,M,,,5
J1022,J1022,,,,,5
J1023,J1023,,,,,5
J1024,J1024,010C10E7A9,M,,,5
J1025,J1025,010C112064,F,,,5
J1026,J1026,,,,,5
J1027,J1027,,,,,5
J1028,J1028,010C11008F,F,,,5
J103,J103,010C119710,M,,,5
J1030,J1030,010C112D90,F,,,5
J1031,J1031,01103F6D77,F,,,5
J1032,J1032,010C112A39,M,,,5
J1033,J1033,010C110A70,M,,,5
J1035,J1035,010C10AF86,M,,,5
J1036,J1036,010C109CDC,F,,,5
J1037,J1037,,,,,5
J1038,J1038,,,,,5
J1039,J1039,010C110F4A,M,,,5
J104,J104,010C117101,M,,,5
J1040,J1040,010C11B513,M,,,5
J1041,J1041,,,,,5
J1042,J1042,010C113676,M,,,5
J1043,J1043,,,,,5
J1044,J1044,010C1194F5,M,,,5
J1045,J1045,010C118981,M,,,5
J1047,J1047,010C116E96,F,,,5
J1048,J1048,010C11BF84,M,,,5
J1049,J1049,010C118DE0,F,,,5
J105,J105,,,,,5
J1050,J1050,010C11A262,M,,,5
J1051,J1051,010C11068B,F,,,5
J1052,J1052,010C110B56,M,,,5
J1053,J1053,010C119A81,F,,,5
J1054,J1054,,,,,5
J1055,J1055,,,,,5
J1057,J1057,010C118C6C,M,,,5
J1058,J1058,,,,,5
J1059,J1059,,,,,5
J106,J106,010C11AD0C,M,,,5
J1060,J1060,,M,,,5
J1061,J1061,010C10D7FB,M,,,5
J1062,J1062,010C10B2AC,F,,,5
J1063,J1063,,,,,5
J1064,J1064,,,,,5
J1066,J1066,010C1169C0,F,,,5
J1067,J1067,,,,,5
J1068,J1068,,,,,5
J1069,J1069,010C113003,M,,,5
J107,J107,,,,,5
J1070,J1070,,,,,5
J1071,J1071,,,,,5
J1072,J1072,010C10E2DB,F,,,5
J1073,J1073,,,,,5
J1074,J1074,010C11809B,F,,,5
J1075,J1075,010C115FFA,F,,,5
J1076,J1076,010C117CCF,F,,,5
J1077,J1077,010C1128A8,F,,,5
J1078,J1078,010C10A47E,M,,,5
J1079,J1079,010C10B53B,F,,,5
J108,J108,,,,,5
J1080,J1080,010C1170FC,F,,,5
J1081,J1081,010C10C981,F,,,5
J1082,J1082,,,,,5
J1083,J1083,,,,,5
J1084,J1084,,,,,5
J1085,J1085,010C10FC69,M,,,5
J1086,J1086,,,,,5
J1087,J1087,,,,,5
J1088,J1088,,,,,5
J1089,J1089,010C115108,F,,,5
J109,J109,010C10FE09,F,,,5
J1090,J1090,010C110313,F,,,5
J1091,J1091,,,,,5
J1092,J1092,010C11B8F2,M,,,5
J1094,J1094,,,,,5
J1095,J1095,,,,,5
J1096,J1096,011017275A,M,,,5
J1097,J1097,011016D081,F,,,5
J1098,J1098,010C11A446,F,,,5
J1099,J1099,,,,,5
J11,J11,,M,,,5
J110,J110,010C116180,M,,,5
J1100,J1100,010C115610,F,,,5
J1101,J1101,010C11AF2F,F,,,5
J1102,J1102,01103F8EF6,M,,,5
J1103,J1103,,,,,5
J1104,J1104,010C11B24A,F,,,5
J1105,J1105,010C110686,M,,,5
J1106,J1106,010C11A46B,F,,,5
J1107,J1107,,,,,5
J1108,J1108,,,,,5
J1109,J1109,,,,,5
J111,J111,,,,,5
J1110,J1110,010C119004,F,,,5
J1111,J1111,010C117A73,F,,,5
J1112,J1112,,,,,5
J1113,J1113,010C11C052,F,,,5
J1114,J1114,,,,,5
J1115,J1115,010C1108E9,F,,,5
J1116,J1116,010C11A4DP,F,,,5
J1117,J1117,010C11BE95,F,,,5
J1118,J1118,,,,,5
J1119,J1119,010C10A623,F,,,5
J112,J112,,,,,5
J1120,J1120,010C112062,F,,,5
J1121,J1121,010C119B21,F,,,5
J1123,J1123,,,,,5
J1124,J1124,010C11A61C,F,,,5
J1125,J1125,,,,,5
J1126,J1126,,,,,5
J1127,J1127,,,,,5
J1128,J1128,,,,,5
J1129,J1129,010C1146D8,F,,,5
J113,J113,,,,,5
J1130,J1130,,,,,5
J1131A,J1131A,010C11852D,M,,,5
J1132,J1132,011016D96C,M,,,5
J1133,J1133,,,,,5
J1134,J1134,,,,,5
J1135,J1135,,,,,5
J1136,J1136,,,,,5
J1137,J1137,,,,,5
J1138,J1138,,,,,5
J1139,J1139,,,,,5
J114,J114,,,,,5
J1140,J1140,010C11AA44,M,,,5
J1141,J1141,010C10E3B0,M,,,5
J1142,J1142,010C11B4DB,F,,,5
J1143,J1143,,,,,5
J1144,J1144,010C1157B6,M,,,5
J1145,J1145,,,,,5
J1146,J1146,010C10C3A3,M,,,5
J1147,J1147,,,,,5
J1148,J1148,010C1127BE,M,,,5
J1149,J1149,010C114D92,F,,,5
J115,J115,010C1183B0,F,,,5
J1150,J1150,,,,,5
J1151,J1151,,,,,5
J1152,J1152,0110173DC4,M,,,5
J1153,J1153,010C11BCB8,F,,,5
J1156,J1156,,,,,5
J1157,J1157,010C10DBD6,F,,,5
J1158,J1158,01101726AC,F,,,5
J1159,J1159,010C115FEB,M,,,5
J116,J116,,,,,5
J1160,J1160,010C117EF0,F,,,5
J1161,J1161,,,,,5
J1162,J1162,010C100042,M?,,,5
J1163,J1163,010C114E7F,F?,,,5
J1164,J1164,,,,,5
J1165,J1165,010C114360,M?,,,5
J1166,J1166,,,,,5
J1167,J1167,,,,,5
J1168,J1168,,,,,5
J1169,J1169,,,,,5
J117,J117,,,,,5
J1170,J1170,010C11A644,F,,,5
J1171,J1171,011016CC36,M,,,5
J1172,J1172,,,,,5
J1173,J1173,010C10CEC1,F,,,5
J1174,J1174,,,,,5
J1175,J1175,,,,,5
J1176,J1176,,,,,5
J1177,J1177,010C10BB28,M,,,5
J1178,J1178,,,,,5
J1179,J1179,,,,,5
J118,J118,,,,,5
J1180,J1180,,,,,5
J1181,J1181,,,,,5
J1182,J1182,010C118980,F,,,5
J1183,J1183,010C11435A,M,,,5
J1184,J1184,,,,,5
J1185,J1185,,,,,5
J1186,J1186,010C11A106,M,,,5
J1187,J1187,,,,,5
J1188,J1188,,,,,5
J1189,J1189,010C10DA53,M,,,5
J119,J119,,,,,5
J1190,J1190,,,,,5
J1191,J1191,,,,,5
J1192,J1192,,,,,5
J1193,J1193,010C10C980,F,,,5
J1194,J1194,,,,,5
J1195,J1195,,,,,5
J1197,J1197,,,,,5
J1198,J1198,,,,,5
J1199,J1199,,,,,5
J12,J12,010C10B34B,F,,,5
J120,J120,,,,,5
J1200,J1200,,,,,5
J121,J121,,,,,5
J1211,J1211,,,,,5
J1212,J1212,,,,,5
J1213,J1213,,,,,5
J1214,J1214,,,,,5
J1215,J1215,010C116E93,F,,,5
J1216,J1216,,,,,5
J1217,J1217,,,,,5
J1218,J1218,,,,,5
J1219,J1219,,,,,5
J122,J122,,,,,5
J1220,J1220,010C10C3A2,M,,,5
J1221,J1221,,,,,5
J1223,J1223,,,,,5
J1224,J1224,010C10EFE7,M,,,5
J1225,J1225,,,,,5
J1226,J1226,,,,,5
J1227,J1227,,,,,5
J1228,J1228,,,,,5
J1229,J1229,010C111ED1,M,,,5
J123,J123,010C10F67D,F,,,5
J1230,J1230,,,,,5
J1231,J1231,,,,,5
J1232,J1232,010C10E147,F,,,5
J1234,J1234,010C115899,F,,,5
J1235,J1235,,,,,5
J1236,J1236,,,,,5
J1237,J1237,010C118DDE,M,,,5
J1238,J1238,,,,,5
J1239,J1239,,,,,5
J124,J124,,,,,5
J1240,J1240,,,,,5
J1241,J1241,,,,,5
J1242,J1242,,,,,5
J1243,J1243,,,,,5
J1244,J1244,010C119CA9,,,,5
J1245,J1245,010C1103E5,F,,,5
J1246,J1246,,,,,5
J1247,J1247,,,,,5
J1248,J1248,010C10EFE4,F,,,5
J1249,J1249,,,,,5
J125,J125,010C11728E,M,,,5
J1250,J1250,,,,,5
J1251,J1251,,,,,5
J1252,J1252,,,,,5
J1253,J1253,,,,,5
J1254,J1254,,,,,5
J1255,J1255,,,,,5
J1256,J1256,010C10EFE6,M,,,5
J1257,J1257,,,,,5
J1258,J1258,,,,,5
J126,J126,010C109CDD,F,,,5
J1260,J1260,010C119C84,M,,,5
J1261,J1261,110174896,F,,,5
J1262,J1262,,,,,5
J1263,J1263,,,,,5
J1264,J1264,010C10A69C,F,,,5
J1265,J1265,,,,,5
J1266,J1266,0700EE0FEA,F,,,5
J1266-B,J1266-B,,,,,5
J1267,J1267,010C11031A,M,,,5
J1268,J1268,010C1120CC,M,,,5
J1269,J1269,,,,,5
J127,J127,,,,,5
J1270,J1270,,,,,5
J1271,J1271,,,,,5
J1272,J1272,,,,,5
J1273,J1273,,,,,5
J1274,J1274,,,,,5
J1275,J1275,,,,,5
J1276,J1276,,,,,5
J1277,J1277,,,,,5
J1278,J1278,,,,,5
J1279,J1279,010C10B498,F,,,5
J128,J128,,,,,5
J1280,J1280,,,,,5
J1281,J1281,,,,,5
J1282,J1282,,,,,5
J1283A,J1283A,011016D2IE,F,,,5
J1283B,J1283B,,,,,5
J1284,J1284,,,,,5
J1285,J1285,,,,,5
J1286,J1286,,,,,5
J1287,J1287,,,,,5
J1288,J1288,,,,,5
J1289,J1289,,,,,5
J129,J129,010C1141B2,F,,,5
J1290,J1290,,,,,5
J1291,J1291,010C10D985,M,,,5
J1292,J1292,010C11150A,M,,,5
J1293,J1293,,,,,5
J1294,J1294,,,,,5
J1295,J1295,,,,,5
J1296,J1296,,,,,5
J1297,J1297,,,,,5
J1298,J1298,010C118C66,F,,,5
J1299,J1299,,,,,5
J13,J13,010C10DCA1,F,,,5
J130,J130,010C109932,M,,,5
J1300,J1300,010C11774D,M,,,5
J1301,J1301,010C1127C0,F,,,5
J1302,J1302,,,,,5
J1303,J1303,010C10C804,F,,,5
J1304,J1304,,,,,5
J1305,J1305,,,,,5
J1306,J1306,,,,,5
J1307,J1307,,,,,5
J1308,J1308,,,,,5
J1309,J1309,,,,,5
J131,J131,010C10D106,M,,,5
J1310A,J1310A,,,,,5
J1310B,J1310B,,,,,5
J1312,J1312,010C11129C,F,,,5
J1313,J1313,010C110F45,F,,,5
J1314,J1314,010C117E53,F,,,5
J1316,J1316,010C1108EC,F,,,5
J132,J132,,,,,5
J1320,J1320,010C11B047,F,,,5
J1321,J1321,010C11A625,F,,,5
J1322,J1322,010C10C7D4,M,,,5
J1324,J1324,0110172B4A,M,,,5
J1325,J1325,010C10FE0A,F,,,5
J1326,J1326,010C1103FE,M,,,5
J1329,J1329,011017079F,M,,,5
